duration,actor1_fb_likes,actor2_fb_likes,actor3_fb_likes,budget,movie_fb_likes,actor4_fb_likes,director_fb_likes,cast_total_fb_likes,imdb
-0.50117,0.15724,-0.63163,-0.22879,1.1762,-0.46291,-0.46438,-0.43326,-0.52579,0
0.77303,0.82191,4.2366,2.1199,0.96247,1.7824,1.5948,-0.34267,2.4219,1
0.37759,2.5501,-0.59772,1.4051,1.1762,0.56986,-0.10559,0.096701,0.9541,1
-0.80873,-0.42768,-0.63934,0.077558,1.1762,-0.54169,-0.27563,-0.43897,-0.21694,0
-0.14966,-0.854,0.4792,-0.65971,-0.7471,-0.53492,-0.41082,-0.35437,-0.69568,1
0.7291,-0.50744,0.22871,-0.35643,1.1334,-0.44619,-0.21895,-0.39082,0.16197,1
4.5078,2.9489,0.86457,0.56261,1.1762,-0.17023,-0.30397,4.1775,1.6628,1
-0.89661,-0.26816,-0.38788,-0.40749,0.96247,-0.49636,-0.19061,-0.14815,0.095167,0
1.6957,-0.42768,0.4214,-0.10114,1.0052,-0.14096,0.6596,1.5114,0.21537,1
-1.2481,0.15724,0.69116,-0.25432,1.0693,0.19354,0.064451,-0.41585,0.10023,1
0.55334,0.82191,1.1536,-0.35643,1.0266,0.19354,3.3803,0.04229,0.77684,1
1.4321,-0.56061,-0.63413,-0.56602,1.1762,-0.20368,-0.21895,-0.41286,-0.6861,0
-0.36935,-0.082046,-0.67652,-0.27984,1.0693,1.7824,1.6232,0.83125,-0.068433,1
0.94878,0.27688,0.22871,-0.050085,0.42823,0.10992,0.77296,1.7018,0.30998,1
-0.58904,-0.80721,-0.44569,-0.43302,1.048,-0.099145,0.48956,-0.31818,-0.37819,1
-0.50117,0.68898,-0.15666,1.6859,1.0693,0.10992,-0.10559,-0.43544,0.48802,0
-0.58904,0.55604,-0.44569,-0.30537,1.4967,-0.43783,-0.44313,-0.40252,-0.061029,0
